authors	title	abstract	publication_year	doi/url	DL	IS_ACCEPTED	publisher	paper_type	problem	approach	solution	languages	KGs	datasets	metrics	technologies	challenges/future work	source code	demo	comments
Elena Cabrio Julien Cojan Fabien Gandon	Mind the Cultural Gap: Bridging Language-Specific DBpedia Chapters for Question Answering	In order to publish information extracted from language-specific pages of Wikipedia in a structured way, the Semantic Web community has started an effort of internationalization of DBpedia. Language-specific DBpedia chapters can contain very different information from one language to another; in particular, they provide more details on certain topics or fill information gaps. Language-specific DBpedia chapters are well connected through instance interlinking, extracted from Wikipedia. An alignment between properties is also carried out by DBpedia contributors as a mapping from the terms in Wikipedia to a common ontology, enabling the exploitation of information coming from language-specific DBpedia chapters. However, the mapping process is currently incomplete, it is time-consuming as it is performed manually, and it may lead to the introduction of redundant terms in the ontology. In this chapte, we first propose an approach to automatically extend the existing alignments, and we then present an extension of QAKiS, a system for Question Answering over Linked Data that allows to query language-specific DBpedia chapters relying on the abovementioned property alignment. In the current version of QAKiS, English, French, and German DBpedia chapters are queried using a natural language interface.	2014	https://doi.org/10.1007/978-3-662-43585-4_9	Springer	TRUE	Chapter of a Book 2014	System	Language specific DBpedia chapters can contain different information from one language to another, providing more specificity on certain topics, or filling information gaps. Being able to exploit all the amount of multilingual information would bring several advantages to systems.	To enhance users interactions with the Web of Data, query interfaces providing a flexible mapping between natural language expressions, and concepts and relations in structured knowledge bases are becoming particularly relevant. More specifically, QAKiS allows end users to submit a query to an RDF triple store in English and obtain the answer in the same language, hiding the complexity of the non intuitive formal query languages involved in the resolution process.	Relation-based matching for question interpretation, to convert the user question into a query language (e.g. SPARQL). More specifically, it makes use of relational patterns - automatically extracted from Wikipedia and collected in the WikiFramework repository  that capture different ways to express a certain relation in a given language. QAKiS is composed of four main modules: query generator, pattern matcher, NE recognizer, SPARQL package	English, French, German	DBpedia	QALD-2	Precision	Stanford Core NLP NE Recognizer	Improve the mapping extension approach by taking into account instance types to disambiguate attributes. Distributed SPARQL endpoints			It is an extension of QAKiS. The mappings has to be created for each language individually
Elena Cabrio Julien Cojan Fabien Gandon Amine Hallili	Querying Multilingual DBpedia with QAKiS	We present an extension of QAKiS, a system for open domain Question Answering over linked data, that allows to query DBpedia multilingual chapters. Such chapters can contain different information with respect to the English version, e.g. they provide more specificity on certain topics, or fill information gaps. QAKiS exploits the alignment between properties carried out by DBpedia contributors as a mapping from Wikipedia terms to a common ontology, to exploit information coming from DBpedia multilingual chapters, broadening therefore its coverage. For the demo, English, French and German DBpedia chapters are the RDF data sets to be queried using a natural language interface.	2013	https://doi.org/10.1007/978-3-642-41242-4_23	Springer	TRUE	ESWC 2013	System				English, French, German	DBpedia							The same as # 24
Nikolay Radoev Amal Zouaq Mathieu Tremblay Michel Gagnon	A Language Adaptive Method for Question Answering on French and English	The LAMA (Language Adaptive Method for question Answering) system focuses on answering natural language questions using an RDF knowledge base within a reasonable time. Originally designed to process queries written in French, the system has been redesigned to also function on the English language. Overall, we propose a set of lexico-syntactic patterns for entity and property extraction to create a semantic representation of natural language requests. This semantic representation is then used to generate SPARQL queries able to answer users’ requests. The paper also describes a method for decomposing complex queries into a series of simpler queries. The use of preprocessed data and parallelization methods helps improve individual answer times.	2018	https://doi.org/10.1007/978-3-030-00072-1_9	Springer	TRUE	SemWebEval 2018	System	Many applications rely on the SPARQL standard in order to query data based on an RDF model. The use of SPARQL does however come with a significant drawback represented by its learning curve.	Question-answering system, which is based on various multilingual (French / English) lexico-syntactic patterns that can help generate corresponding SPARQL queries. These patterns can be used in any question-answering (QA) system that wants to leverage the power of syntax and POS tagging to generate SPARQL queries.	The pre-processing phases (Syntax Parsing and Question Classification) generate additional intermediate structures (dependency tree, POS tags, question type) that are passed to the core processing module, which transforms the syntax tree in an intermediate representation. This representation is parsed to generate one or more triple patterns used in the SPARQL requests to the Knowledge Base.	French, English	DBpedia	QALD-7, LC-QuAD	F1 score	Google Translate API, word2vec, SyntaxNet, Penn Treebank, OntoNotes, Universal Dependencies	The enrichment of dependency and POS patterns, checking for logical coherence between thesystem’s output and the expected answers, audio modality			The same as "French and English Question Answering using Lexico-Syntactic Patterns". Lexico-Syntactic patterns are handcrafted. It is well-known that hand-crafted approachs can not cover all the variance of NL.
Dennis Diefenbach Kamal Singh Pierre Maret	WDAqua-core0: A Question Answering Component for the Research Community	We describe and present a new Question Answering (QA) component that can be easily used by the QA research community. It can be used to answer questions over DBpedia and Wikidata. The language support over DBpedia is restricted to English, while it can be used to answer questions in 4 different languages over Wikidata namely English, French, German and Italian. Moreover it supports both full natural language queries as well as keyword queries. We describe the interfaces to access and reuse it and the services it can be combined with. Moreover we show the evaluation results we achieved on the QALD-7 benchmark.	2017	https://doi.org/10.1007/978-3-319-69146-6_8	Springer	TRUE	SemWebEval 2017	System				English, French, German, Italian	DBpedia, Wikidata	QALD-7	Precision, Recall, F1 Score	Qanary				Same as #8
Thomas Pellissier Tanon Marcos Dias de Assunção Eddy Caron Fabian M. Suchanek	Demoing Platypus – A Multilingual Question Answering Platform for Wikidata	In this paper we present Platypus, a natural language question answering system on Wikidata. Our platform can answer complex queries in several languages, using hybrid grammatical and template based techniques. Our demo allows users either to select sample questions, or formulate their own – in any of the 3 languages that we currently support. A user can also try out our Twitter bot, which replies to any tweet that is sent to its account.	2018	https://doi.org/10.1007/978-3-319-98192-5_21	Springer	TRUE	ESWC 2018	System	Recent years have seen the rise of systems that can answer natural language questions. These systems usually rely on knowledge bases (KBs) – large, structured repositories of achinereadable facts	First, it explicitly targets Wikidata, which is one of the largest general purpose knowledge bases. Second, it supports multiple natural languages with minimal adjustments. Represent questions not directly in SPARQL, but rather in a custom logical representation. 	The representation is inspired by dependency-based compositional semantics, and adapted to work with multiple languages. The grammatical analyzer takes as input a natural language question, and translates it into a logical representation.  Then it transforms this tree to the logical representation using manually designed rules. The second Platypus analyzer is based on templates. analyzer uses these templates in order to find the logical representation of a given natural language question. For this purpose, the analyzer first finds the template that best matches the question. After this, the analyzer fills the logical representation slots. The representations are converted into SPARQL, and executed one after the other on Wikidata, until one of them yields an answer.	French, English	Wikidata	WikidataSimpleQuestions		Core NLP, Spacy, RasaNLU	The template-based analyzer one works only in English		https://qa.askplatyp.us/v0, https://askplatyp.us/	Custom logical representations can be a bottleneck.
David W. EmbleyStephen W. LiddleDeryle W. LonsdaleYuri Tijerino	Multilingual Ontologies for Cross-Language Information Extraction and Semantic Search		2011	https://doi.org/10.1007/978-3-642-24606-7_12	Springer	FALSE														
María-Dolores Olvera-LoboJuncal Gutiérrez-Artacho	Multilingual Question-Answering System in Biomedical Domain on the Web: An Evaluation		2011	https://doi.org/10.1007/978-3-642-23708-9_10	Springer	FALSE														
Wafa WaliFatma GhorbelBilel GragouriFayçal HamdiElisabeth Metais	A Multilingual Semantic Similarity-Based Approach for Question-Answering Systems		2019	https://doi.org/10.1007/978-3-030-29551-6_54	Springer	FALSE														
Nadine Steinmetz Kai-Uwe Sattler	What is in the KGQA Benchmark Datasets? Survey on Challenges in Datasets for Question Answering on Knowledge Graphs		2021	https://doi.org/10.1007/s13740-021-00128-9	Springer	FALSE														only English considered
Eleftherios Dimitrakis Konstantinos Sgontzos Yannis Tzitzikas	A survey on question answering systems over linked data and documents	Question Answering (QA) systems aim at supplying precise answers to questions, posed by users in a natural language form. They are used in a wide range of application areas, from bio-medicine to tourism. Their underlying knowledge source can be structured data (e.g. RDF graphs and SQL databases), unstructured data in the form of plain text (e.g. textual excerpts from Wikipedia), or combinations of the above. In this paper we survey the recent work that has been done in the area of stateless QA systems with emphasis on methods that have been applied in RDF and Linked Data, documents, and mixtures of these. We identify the main challenges, we categorize the existing approaches according to various aspects, we review 21 recent systems, and 23 evaluation and training datasets that are most commonly used in the literature categorized according to the type of the domain, the underlying knowledge source, the provided tasks, and the associated evaluation metrics.	2020	https://doi.org/10.1007/s10844-019-00584-7	Springer	TRUE	Journal of Intelligent Information Systems 2020	Review	Apart from covering more recent systems, up to 2018, this survey contains a detailed list of available training/evaluation datasets for QA, an aspect that is not covered by the past surveys.	We believe that the list of evaluation datasets provided in this survey can be a valuable guide to researchers for choosing the datasets that best suit their needs and hypotheses.  Another distinctive characteristic of the current survey is that it discusses how different types of QAs and information sources can be combined to a unified pipeline, in order to help researchers to find combinatorial ways that can be more effective.	A survey on Question Answering that covers text based, data based and hybrid approaches. Also the datasets are covered		DBpedia, Freebase	WebQuestions, SimpleQuestions, QALD-1, QALD-2, QALD-3, LC-QuAD, QALD-4, QALD-5, QALD-6, QALD-7	Accuracy, Precision, Recall, F-measure, Average Precision, Mean Average Precision, Mean Reciprocal Rank					Only small paragraph about multilinguality. No protocol of survey described
Dennis DiefenbachVanessa LopezKamal SinghPierre Maret	Core techniques of question answering systems over knowledge bases: a survey		2018	https://doi.org/10.1007/s10115-017-1100-y	Springer	FALSE														
Shiqi LiangKurt StockingerTarcisio Mendes de FariasMaria AnisimovaManuel Gil	Querying knowledge graphs in natural language		2021	https://doi.org/10.1186/s40537-020-00383-w	Springer	FALSE														
José Wellington Franco da SilvaAmanda Drielly Pires VenceslauJuliano Efson SalesJosé Gilvan Rodrigues MaiaVládia Célia Monteiro PinheiroVânia Maria Ponte Vidal	A short survey on end-to-end simple question answering systems		2020	https://doi.org/10.1007/s10462-020-09826-5	Springer	FALSE														
Aleksandr Perevalov and Dennis Diefenbach and Ricardo Usbeck and Andreas Both	QALD-9-plus: {A} Multilingual Dataset for Question Answering over DBpedia and Wikidata Translated by Native Speakers		2022	https://doi.org/10.1109/ICSC52841.2022.00045	DBLP	TRUE	ICSC 2022	Dataset												The same as #3
Aleksandr Perevalov and Axel{-}Cyrille Ngonga Ngomo and Andreas Both	Enhancing the Accessibility of Knowledge Graph Question Answering Systems through Multilingualization		2022	https://doi.org/10.1109/ICSC52841.2022.00048	DBLP	TRUE	ICSC 2022	Review												The same as #4
Yucheng Zhou and Xiubo Geng and Tao Shen and Wenqiang Zhang and Daxin Jiang	Improving Zero-Shot Cross-lingual Transfer for Multilingual Question Answering over Knowledge Graph	Multilingual question answering over knowledge graph (KGQA) aims to derive answers from a knowledge graph (KG) for questions in multiple languages. To be widely applicable, we focus on its zero-shot transfer setting. That is, we can only access training data in a high-resource language, while need to answer multilingual questions without any labeled data in target languages. A straightforward approach is resorting to pre-trained multilingual models (e.g., mBERT) for cross-lingual transfer, but there is a still significant gap of KGQA performance between source and target languages. In this paper, we exploit unsupervised bilingual lexicon induction (BLI) to map training questions in source language into those in target language as augmented training data, which circumvents language inconsistency between training and inference. Furthermore, we propose an adversarial learning strategy to alleviate syntax-disorder of the augmented data, making the model incline to both language- and syntax-independence. Consequently, our model narrows the gap in zero-shot cross-lingual transfer. Experiments on two multilingual KGQA datasets with 11 zero-resource languages verify its effectiveness.	2021	https://doi.org/10.18653/v1/2021.naacl-main.465	DBLP	TRUE	NAACL 2021	System	Recently, a rising demand of KGQA systems is to answer the multilingual questions, motivating us to focus on multilingual KGQA. However, building a large-scale KG, as well as annotating QA data, is costly for each new language, not to mention many minority languages with a few native annotators. It is witnessed that there is a considerable KGQA performance gap between source and target languages, which is consistent with the empirical results on a wide range of other tasks by prior works.	Pre-train a Transformer encoder  on largescale non-parallel multilingual corpora in a selfsupervised manner. Then given an NLP task, a general paradigm for zero-shot cross-lingual transfer is to fine-tune a pre-trained multilingual encoder on the data in a data-rich (source) language. And the fine-tuned model is generalizable enough to perform inference in other low-resource (target) languages with surprising quality of prediction. This paradigm can be adapted to KGQA to build symbolic logical forms for KG query. Adapt the translation approaches in our zero-resource scenario, we naturally propose to replace the full-supervised machine translator with unsupervised bilingual lexicon induction (BLI) for word-level translation.	a BLI-based augmentation for multilingual training data, followed by our adaptation of the monolingual base framework to the augmented data. Finally, we propose an adversarial learning strategy coupled with BLI-based augmentation for robust cross-lingual transfer.	English, Farsi, German, Romainan, Italian, Russian, French, Dutch, Spanish, Hindi, Portugese	DBpedia	LC-QuAD, QALD-9	ICA, F1 score	Google Translate				LC-QuAD machine translated to multiple languages
Wafa Wali and Fatma Ghorbel and Bilel Gargouri and Fay{\c{c}}al Hamdi and Elisabeth M{\'{e}}tais	A Multilingual Semantic Similarity-Based Approach for Question-Answering Systems		2019	https://doi.org/10.1007/978-3-030-29551-6_54	DBLP	FALSE														
Thomas Pellissier Tanon and Marcos Dias de Assun{\c{c}}{\~{a}}o and Eddy Caron and Fabian M. Suchanek	Demoing Platypus - {A} Multilingual Question Answering Platform for Wikidata		2018	https://doi.org/10.1007/978-3-319-98192-5_21	DBLP	TRUE		System												The same as #28
Sherzod Hakimov and Soufian Jebbara and Philipp Cimiano	{AMUSE:} Multilingual Semantic Parsing for Question Answering over Linked Data		2018	https://doi.org/10.1007/978-3-319-68288-4_20	DBLP	TRUE	 ISWC 2017	System												The same as #19
Amir Pouran Ben Veyseh	Cross-Lingual Question Answering Using Common Semantic Space	With the advent of Big Data concept, a lot of attention has been paid to structuring and giving semantic to this data. Knowledge bases like DBPedia play an important role to achieve this goal. Question answering systems are common approach to address expressivity and usability of information extraction from knowledge bases. Recent researches focused only on monolingual QA systems while cross-lingual setting has still so many barriers. In this paper we introduce a new cross-lingual approach using a unified semantic space among languages. After keyword extraction, entity linking and answer type detection, we use cross lingual semantic similarity to extract the answer from knowledge base via relation selection and type matching. We have evaluated our approach on Persian and Spanish which are typologically different languages. Our experiments are on DBPedia. The results are promising for both languages.	2016	https://doi.org/10.18653/v1/w16-1403	DBLP	TRUE	TextGraphs-10 2016	System	While existing approaches focused only on English language, there are so many difficulties to cope with in cross lingual setting. On the one hand, lack of tools and resources, and on the other hand, vocabulary gap between source and target languages, frustrate any effort to adapt the existing approaches for languages other than English.	Any given question passes through four stages in a pipeline including 1. Keyword Extraction, 2. Keyword Type Detection, 3. Entity Linking & Ontology Type Extraction, and finally 4. Answer Extraction. 	A MaxEnt Markov Model is used in order to extract these keywords through sequence labelling. In the second stage each keyword is classified as 1. Type Detector, 2. Grounded Entity or 3. Neutral. To do that we have utilized an SVM classifier with RBF kernel. To do entity linking, results of queries over three different collections are merged with different weights and the first result is selected. All entities in 2-hop vicinity of the found entities in KB whose types are different from extracted ontology types are pruned. If there are entities of desired types with different path labels to the found entities, the cross lingual semantic similarity model is used to select the most similar relation with the keywords of tagged as Neutral. We have used unified vectores constructed according to BabelNet synsets	English, Persian, Spanish	DBpedia	QALD-5	Precision, Recall, F1 score	Google Translate	More investigation on relation extraction is needed. Extending our method for other KBs that don’t have versions in other languages like Freebase and also other datasets like WebQuestions (Berant et al., 2013) is another room for future work. Adapting and evaluating our method in cross-dialect setting has been left for future work.			Not clear whether there are language independent models are used in some steps (e.g., SVM)
Elena Cabrio and Philipp Cimiano and Vanessa L{\'{o}}pez and Axel{-}Cyrille Ngonga Ngomo and Christina Unger and Sebastian Walter	{QALD-3:} Multilingual Question Answering over Linked Data		2013		DBLP	TRUE		Dataset												The same as #15
Julien Cojan and Elena Cabrio and Fabien Gandon	Filling the gaps among DBpedia multilingual chapters for question answering		2013	https://doi.org/10.1145/2464464.2464500	DBLP	TRUE		System												The same as #24
{\'{O}}scar Ferr{\'{a}}ndez and Christian Spurk and Milen Kouylekov and Iustin Dornescu and Sergio Ferr{\'{a}}ndez and Matteo Negri and Rub{\'{e}}n Izquierdo and David Tom{\'{a}}s and Constantin Orasan and Guenter Neumann and Bernardo Magnini and Jos{\'{e}} Luis Vicedo Gonz{\'{a}}lez	The {QALL-ME} Framework: {A} specifiable-domain multilingual Question Answering architecture	This paper presents the QALL-ME Framework, a reusable architecture for building multi- and cross-lingual Question Answering (QA) systems working on structured data modelled by an ontology. It is released as free open source software with a set of demo components and extensive documentation, which makes it easy to use and adapt. The main characteristics of the QALL-ME Framework are: (i) its domain portability, achieved by an ontology modelling the target domain; (ii) the context awareness regarding space and time of the question; (iii) the use of textual entailment engines as the core of the question interpretation; and (iv) an architecture based on Service Oriented Architecture (SOA), which is realized using interchangeable web services for the framework components. Furthermore, we present a running example to clarify how the framework processes questions as well as a case study that shows a QA application built as an instantiation of the QALL-ME Framework for cinema/movie events in the tourism domain.	2011	https://doi.org/10.1016/j.websem.2011.01.002	DBLP	TRUE	Journal of Web Semantics	System	The exponential growth of digital information requires processes capable of searching, filtering, retrieving and classifying such information. In this context, Question Answering (QA) aims to provide relevant information to end-users as correct answers to an arbitrary question through a search in both unstructured and structured collections of data	A reusable architecture skeleton for building multilingual QA systems that answer questions with the help of structured answer data sources from freely specifiable domains. Its components can be easily expanded and replaced with other implementations, domain portability can be achieved by means of an ontology specifying the target domain. Moreover, in order to enhance interoperability and ease of use, the framework seeks to be as far as possible compliant with current standards.	The QALL-ME Framework workflow is managed by the QA Planner, which is in charge of orchestrating the web service components and thus passing the input question through the whole QA system until an answer is found: - Language Identification, - Entity Annotation, - Term Annotation, - Temporal Expression Annotation, - Query Generation	German, Spanish, English, Italian			Accuracy, RTE	Java	 acquisition of minimal question patterns, more efforts have to be undertaken in Interactive QA	http://qallme.sourceforge.net/docs/sec_Tutorials.html#sec_GettingReadyForTheFramework		The components are dictionary based, code is outdated, demo does not work
Евсеев Д. А. Архипов М. Ю	ГЕНЕРАЦИЯ SPARQL-ЗАПРОСОВ ДЛЯ ОТВЕТА НА СЛОЖНЫЕ ВОПРОСЫ С ПОМОЩЬЮ BERT И BILSTM	В данной работе описывается вопросно-ответная система для ответа на сложные вопросы по базе знаний Wikidata. В отличие от простых вопросов, для ответа на которые требуется найти один факт в базе знаний, сложные вопросы требуют извлечения более 1 триплета, а также логические или сравнительные рассуждения. Предложенная система переводит вопрос на естественном языке в запрос на языке SPARQL, выполнение которого дает ответ. В состав системы входят модели, которые определяют шаблон SPARQL-запроса, соответствующего вопросу, и затем заполняют пустые места в шаблоне сущностями, отношениями и численными значениями. Для извлечения сущностей мы использовали модель маркировки последовательностей на основе BERT. Ранжирование возможных отношений для вопроса происходит в два этапа с помощью моделей на основе BiLSTM и BERT. Предложенные модели — первое решение для датасета LC-QUAD2.0. Система способна отвечать на во	2020	https://www.dialog-21.ru/media/5088/evseevdaplusarkhipov-myu-048.pdf	Cyberleninka	TRUE	Dialog 21 2020	System	Create a system capable of answering complex questions with logical or comparative reasoning.	Decompose the task of KBQA into query template prediction, entity detection, entity linking, relation ranking, path ranking, constraint extraction (if the question has constraints) and generation of query from extracted entities, relations and constraints.	KBQA pipeline based on deep learning neural networks. . Classification of questions by query template type using BERT (CLS token), Entity Detection with BERT-based sequence labeling, Entity Linking is implemented using fuzzy matching of the string extracted at Entity Detection step with inverted index, relation ranking implemented with extracting relation candidates from the linked entities, the question's token embeddings are passed to the 2-layer Bi-LSTM to obtain hidden states which are taken for the dot product of relation embeddings (of their title) and passed to softmax layer (the model is trained to maximize product of token embedding and right relation embedding), BERT is used for path ranking of relation candidates, regular expressions are used to extract modifiers	English, Russian	Wikidata	LC-QuAD 2.0	Precision, Recall, F1 Score	DeepPavlov, Python		http://docs.deeppavlov.ai/en/master/features/models/kbqa.html		The used models and therefore the whole system is quite resource hungry, for proper functionality on CPU machine it requires around 32 GB of RAM.
Постаногов Игорь Сергеевич; Турова Ирина Алексеевна	Платформа комплексирования и тестирования средств трансформации естественно-языковых <b>запросов</b> в <b>SPARQL</b>-<b>запросы</b>	Статья посвящена <b>вопросу</b> поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) <b>запросов</b> в <b>SPARQL</b>-<b>запросы</b> (далее средство трансформации).	2019	https://cyberleninka.ru/article/n/platforma-kompleksirovaniya-i-testirovaniya-sredstv-transformatsii-estestvenno-yazykovyh-zaprosov-v-sparql-zaprosy	Cyberleninka	FALSE		System												
Zhou, Yucheng  and Geng, Xiubo  and Shen, Tao  and Zhang, Wenqiang  and Jiang, Daxin	Improving Zero-Shot Cross-lingual Transfer for Multilingual Question Answering over Knowledge Graph	Multilingual question answering over knowledge graph (KGQA) aims to derive answers from a knowledge graph (KG) for questions in multiple languages. To be widely applicable, we focus on its zero-shot transfer setting. That is, we can only access training data in a high-resource language, while need to answer multilingual questions without any labeled data in target languages. A straightforward approach is resorting to pre-trained multilingual models (e.g., mBERT) for cross-lingual transfer, but there is a still significant gap of KGQA performance between source and target languages. In this paper, we exploit unsupervised bilingual lexicon induction (BLI) to map training questions in source language into those in target language as augmented training data, which circumvents language inconsistency between training and inference. Furthermore, we propose an adversarial learning strategy to alleviate syntax-disorder of the augmented data, making the model incline to both language- and syntax-independence. Consequently, our model narrows the gap in zero-shot cross-lingual transfer. Experiments on two multilingual KGQA datasets with 11 zero-resource languages verify its effectiveness.	2021	https://doi.org/10.18653/v1/2021.naacl-main.465	ACL Anthology	TRUE		System												The same as #39
Khakhmovich, Aleksandr  and Pavlova, Svetlana  and Kirillova, Kira  and Arefyev, Nikolay  and Savilova, Ekaterina	Cross-lingual Named Entity List Search via Transliteration	Out-of-vocabulary words are still a challenge in cross-lingual Natural Language Processing tasks, for which transliteration from source to target language or script is one of the solutions. In this study, we collect a personal name dataset in 445 Wikidata languages (37 scripts), train Transformer-based multilingual transliteration models on 6 high- and 4 less-resourced languages, compare them with bilingual models from (Merhav and Ash, 2018) and determine that multilingual models perform better for less-resourced languages. We discover that intrinsic evaluation, i.e comparison to a single gold standard, might not be appropriate in the task of transliteration due to its high variability. For this reason, we propose using extrinsic evaluation of transliteration via the cross-lingual named entity list search task (e.g. personal name search in contacts list). Our code and datasets are publicly available online.	2020	https://aclanthology.org/2020.lrec-1.524	ACL Anthology	FALSE														
Reddy, Siva  and T{\"a}ckstr{\"o}m, Oscar  and Petrov, Slav  and Steedman, Mark  and Lapata, Mirella	Universal Semantic Parsing	Universal Dependencies (UD) offer a uniform cross-lingual syntactic representation, with the aim of advancing multilingual applications. Recent work shows that semantic parsing can be accomplished by transforming syntactic dependencies to logical forms. However, this work is limited to English, and cannot process dependency graphs, which allow handling complex phenomena such as control. In this work, we introduce UDepLambda, a semantic interface for UD, which maps natural language to logical forms in an almost language-independent fashion and can process dependency graphs. We perform experiments on question answering against Freebase and provide German and Spanish translations of the WebQuestions and GraphQuestions datasets to facilitate multilingual evaluation. Results show that UDepLambda outperforms strong baselines across languages and datasets. For English, it achieves a 4.9 F1 point improvement over the state-of-the-art on GraphQuestions.	2017	https://doi.org/10.18653/v1/D17-1009	ACL Anthology	TRUE	EMNLP 2017	System	Recent work shows that semantic parsing can be accomplished by transforming syntactic dependencies to logical forms. However, this work is limited to English, and cannot process dependency graphs, which allow handling complex phenomena such as control.	Convert natural language to logical forms which in turn are converted to machine interpretable formal meaning representations for retrieving answers to questions from Freebase	A semantic interface for Universal Dependencies that maps natural language to logical forms, representing underlying predicate-argument structures, in an almost language-independent manner.	English, German, Spanish	Freebase	WebQuestions, GraphQuestions	F1 Score	Universal Dependencies, Java	Explore how this framework can benefit applications such as summarization and machine reading 	https://github.com/sivareddyg/udeplambda		Not sure how to extend it to the other languages technically. Provides machine translated datasets
Zhang, Lei  and F{\"a}rber, Michael  and Rettinger, Achim	x{L}i{D}-Lexica: Cross-lingual Linked Data Lexica	In this paper, we introduce our cross-lingual linked data lexica, called xLiD-Lexica, which are constructed by exploiting the multilingual Wikipedia and linked data resources from Linked Open Data (LOD). We provide the cross-lingual groundings of linked data resources from LOD as RDF data, which can be easily integrated into the LOD data sources. In addition, we build a SPARQL endpoint over our xLiD-Lexica to allow users to easily access them using SPARQL query language. Multilingual and cross-lingual information access can be facilitated by the availability of such lexica, e.g., allowing for an easy mapping of natural language expressions in different languages to linked data resources from LOD. Many tasks in natural language processing, such as natural language generation, cross-lingual entity linking, text annotation and question answering, can benefit from our xLiD-Lexica.	2014	http://www.lrec-conf.org/proceedings/lrec2014/pdf/248_Paper.pdf	ACL Anthology	FALSE														
Amir Pouran Ben Veyseh	Cross-lingual question answering using common semantic space (UTQA)		2016			TRUE		System												The same as #43
	Natural language queries over heterogeneous linked data graphs: A distributional-compositional semantics approach					FALSE														
Konrad Höffner Sebastian Walter Edgard Marx Ricardo Usbeck Jens Lehmann Axel-Cyrille Ngonga Ngomo	Survey on Challenges of Question Answering in the Semantic Web	Semantic Question Answering (SQA) removes two major access requirements to the Semantic Web: the mastery of a formal query language like SPARQL and knowledge of a specific vocabulary. Because of the complexity of natural language, SQA presents difficult challenges and many research opportunities. Instead of a shared effort, however, many essential components are redeveloped, which is an inefficient use of researcher’s time and resources. This survey analyzes 62 different SQA systems, which are systematically and manually selected using predefined inclusion and exclusion criteria, leading to 72 selected publications out of 1960 candidates. We identify common challenges, structure solutions, and provide recommendations for future systems. This work is based on publications from the end of 2010 to July 2015 and is also compared to older but similar surveys.	2016	http://www.semantic-web-journal.net/system/files/swj1375.pdf	Related Work	TRUE	Semantic Web Journal 2016	Review	While the massive research effort has led to major advances, as shown by the yearly Question Answering over Linked Data (QALD) evaluation campaign, it suffers from several problems: Instead of a shared effort, many essential components are redeveloped. While shared practices emerge over time, they are not systematically collected. Furthermore, most systems focus on a specific aspect while the others are quickly implemented, which leads to low benchmark scores and thus undervalues the contribution	Alleviate these problems by systematically collecting and structuring methods of dealing with common challenges faced by these approaches	Complement existing work with 72 publications about 62 systems developed from 2010 to 2015. Second, we identify challenges faced by those approaches and collect solutions for them from the 72 publications. Finally, we draw conclusions and make recommendations on how to develop future SQA systems.		Wikidata, DBpedia, Freebase, YAGO	QALD-1, QALD-2, QALD-3, QALD-4	Precision, Recall	Google Scholar	Future research should be directed at more modularization, automatic reuse, self-wiring and encapsulated modules with their own benchmarks and evaluations. Benchmarking will move to single algorithmic modules instead of benchmarking a system as a whole. There is a movement towards multilingual, multi-knowledgesource SQA systems that are capable of understanding noisy, human natural language input.			Only one paragraph targeting multilingualism
Ruixiang Cui, Rahul Aralikatte, Heather Lent, Daniel Hershcovich	Multilingual Compositional Wikidata Questions	Semantic parsing allows humans to leverage vast knowledge resources through natural interaction. However, parsers are mostly designed for and evaluated on English resources, such as CFQ (Keysers et al., 2020), the current standard benchmark based on English data generated from grammar rules and oriented towards Freebase, an outdated knowledge base. We propose a method for creating a multilingual, parallel dataset of question-query pairs, grounded in Wikidata, and introduce such a dataset called Compositional Wikidata Questions (CWQ). We utilize this data to train and evaluate semantic parsers for Hebrew, Kannada, Chinese and English, to better understand the current strengths and weaknesses of multilingual semantic parsing. Experiments on zero-shot cross-lingual transfer demonstrate that models fail to generate valid queries even with pretrained multilingual encoders. Our methodology, dataset and results will facilitate future research on semantic parsing in more realistic and diverse settings than has been possible with existing resources.	2021	https://arxiv.org/abs/2108.03509	Related Work	TRUE	Arxiv	Dataset	Semantic parsing allows humans to leverage vast knowledge resources through natural interaction. However, parsers are mostly designed for and evaluated on English resources, such as CFQ, the current standard benchmark based on English data generated from grammar rules and oriented towards Freebase, an outdated knowledge base. The current barrier to extending multilingual KGQA approaches beyond English is a lack of parallel dataset from multilingual databases as well as supervision for semantic parsing.	Propose a method for creating a multilingual, parallel dataset of question-query pairs, grounded in Wikidata, and introduce such a dataset called Compositional Wikidata Questions (CWQ), while utilize this data to train and evaluate semantic parsers for Hebrew, Kannada, Chinese and English, to better understand the current strengths and weaknesses of multilingual semantic parsing. 	Migration from Freebase to Wikidata using: property mapping, entity substitution. Machine translation of English questions using heuristics	Hebrew, Kannada, Chinese	Wikidata, Freebase	CFQ	Accuracy, BLEU	Google Translate	Observe that seq2seq semantic parsers struggle to generalize compositionally on CWQ and that zero-shot cross-lingual transfer fails to generate valid queries with pretrained multilingual encoders. The experiments demonstrate that multilingual KBQA remains a challenge. 	https://github.com/coastalcph/seq2sparql		Machine translated questions
